CODE;OBJECT NAME ENG;OBJECT NAME ESP;OBJECT_TYPE_ENG;OBJECT_TYPE_ESP;CONSTELLATION_ENG;CONSTELLATION_ESP
NGC511;;;HII Region;Región HIII;Fornax;Horno
NGC5110;;;Planetary Nebula;Nebulosa planetaria;Perseus;Perseo
NGC5111;;;Globular Cluster;Cumulo globar;Sagittarius;Sagitario
NGC5112;;;Galaxy Group;Grupo Galaxtico;Pyxis;Brújula
NGC5113;;;Galaxy;Galaxia;Leo Minor;León Menor
NGC5114;;;Star;Estrella;Camelopardalis;Jirafa
NGC5115;;;White Dwarf;Enana blanca;Caelum;Cincel
NGC5116;;;Planetary Nebula;Nebulosa planetaria;Sextans;Sextante
NGC5117;;;Asterism;Asterismo;Musca;Mosca
NGC5118;;;Elliptical Galaxy;Galaxia eliptica;Triangulum Australe;Triángulo Austral
NGC5119;;;Star;Estrella;Sagittarius;Sagitario
NGC512;;;Supernova Remnant;Remanente de supernova;Carina;Quilla
NGC5120;;;Supernova Remnant;Remanente de supernova;Camelopardalis;Jirafa
NGC5121;;;Reflection Nebula;Nebula de reflexión;Auriga;Cochero
NGC5122;;;Variable Star;Estrella variable;Draco;Dragón
NGC5123;;;Supernova Remnant;Remanente de supernova;Lyra;Lira
NGC5124;;;Globular Cluster;Cumulo globar;Ursa Minor;Osa Menor
NGC5125;;;White Dwarf;Enana blanca;Dorado;Dorado
NGC5126;;;Open Cluster;Cumulo abierto;Pyxis;Brújula
NGC5127;;;Dark Nebula;Nebulosa oscura;Scutum;Escudo
NGC5128;Centaurus A;Centauro A;Galaxy;Galaxia;Centaurus;Centauro
NGC5129;;;Planetary Nebula;Nebulosa planetaria;Pisces;Piscis
NGC513;;;Asterism;Asterismo;Norma;Escuadra
NGC5130;;;Open Cluster;Cumulo abierto;Leo;León
NGC5131;;;White Dwarf;Enana blanca;Triangulum Australe;Triángulo Austral
NGC5132;;;White Dwarf;Enana blanca;Apus;Ave del Paraíso
NGC5133;;;Double Star;Estrella doble;Ursa Minor;Osa Menor
NGC5134;;;Planetary Nebula;Nebulosa planetaria;Lynx;Lince
NGC5135;;;Elliptical Galaxy;Galaxia eliptica;Telescopium;Telescopio
NGC5136;;;Supernova Remnant;Remanente de supernova;Tucana;Tucán
NGC5137;;;White Dwarf;Enana blanca;Apus;Ave del Paraíso
NGC5138;;;Globular Cluster;Cumulo globar;Cassiopeia;Casiopea
NGC5139;Omega Centauri;Omega Centauri;Globular Cluster;Cumulo globar;Centaurus;Centauro
NGC514;;;Red Giant;Gigante roja;Coma Berenices;Cabellera de Berenice
NGC5140;;;Open Cluster;Cumulo abierto;Cancer;Cáncer
NGC5141;;;White Dwarf;Enana blanca;Ursa Minor;Osa Menor
NGC5142;;;Galaxy;Galaxia;Crater;Copa
NGC5143;;;Open Cluster;Cumulo abierto;Orion;Orión
NGC5144;;;Elliptical Galaxy;Galaxia eliptica;Puppis;Popa
NGC5145;;;Elliptical Galaxy;Galaxia eliptica;Equuleus;Caballito
NGC5146;;;Variable Star;Estrella variable;Musca;Mosca
NGC5147;;;Red Giant;Gigante roja;Lacerta;Lagarto
NGC5148;;;Planetary Nebula;Nebulosa planetaria;Caelum;Cincel
NGC5149;;;Asterism;Asterismo;Cepheus;Cefeo
NGC515;;;Asterism;Asterismo;Lynx;Lince
NGC5150;;;Dark Nebula;Nebulosa oscura;Norma;Escuadra
NGC5151;;;Asterism;Asterismo;Pisces;Piscis
NGC5152;;;Irregular Galaxy;Galaxia irregular;Musca;Mosca
NGC5153;;;Globular Cluster;Cumulo globar;Eridanus;Erídano
NGC5154;;;Globular Cluster;Cumulo globar;Sagittarius;Sagitario
NGC5155;;;Galaxy;Galaxia;Cygnus;Cisne
NGC5156;;;Elliptical Galaxy;Galaxia eliptica;Lupus;Lobo
NGC5157;;;Spiral Galaxy;Galaxia espiral;Bootes;Boyero
NGC5158;;;Globular Cluster;Cumulo globar;Leo;León
NGC5159;;;Asterism;Asterismo;Musca;Mosca
NGC516;;;Asterism;Asterismo;Leo Minor;León Menor
NGC5160;;;Spiral Galaxy;Galaxia espiral;Scorpius;Escorpión
NGC5161;;;Irregular Galaxy;Galaxia irregular;Monoceros;Unicornio
NGC5162;;;Quasar;Quasar;Phoenix;Fénix
NGC5163;;;Variable Star;Estrella variable;Equuleus;Caballito
NGC5164;;;Galaxy Group;Grupo Galaxtico;Mensa;Mesa
NGC5165;;;White Dwarf;Enana blanca;Perseus;Perseo
NGC5166;;;HII Region;Región HIII;Grus;Grulla
NGC5167;;;Galaxy Group;Grupo Galaxtico;Delphinus;Delfín
NGC5168;;;Dark Nebula;Nebulosa oscura;Cygnus;Cisne
NGC5169;;;White Dwarf;Enana blanca;Auriga;Cochero
NGC517;;;Galaxy;Galaxia;Crater;Copa
NGC5170;;;Open Cluster;Cumulo abierto;Musca;Mosca
NGC5171;;;Dark Nebula;Nebulosa oscura;Mensa;Mesa
NGC5172;;;Asterism;Asterismo;Monoceros;Unicornio
NGC5173;;;Galaxy Group;Grupo Galaxtico;Centaurus;Centauro
NGC5174;;;Emission Nebula;Nebula de emisión;Coma Berenices;Cabellera de Berenice
NGC5175;;;Open Cluster;Cumulo abierto;Telescopium;Telescopio
NGC5176;;;Quasar;Quasar;Draco;Dragón
NGC5177;;;Planetary Nebula;Nebulosa planetaria;Grus;Grulla
NGC5178;;;Variable Star;Estrella variable;Tucana;Tucán
NGC5179;;;Open Cluster;Cumulo abierto;Hercules;Hércules
NGC518;;;White Dwarf;Enana blanca;Leo Minor;León Menor
NGC5180;;;Galaxy Group;Grupo Galaxtico;Antlia;Antlia
NGC5181;;;Planetary Nebula;Nebulosa planetaria;Crater;Copa
NGC5182;;;Dark Nebula;Nebulosa oscura;Antlia;Antlia
NGC5183;;;Reflection Nebula;Nebula de reflexión;Caelum;Cincel
NGC5184;;;Variable Star;Estrella variable;Antlia;Antlia
NGC5185;;;Variable Star;Estrella variable;Hydrus;Hidra Macho
NGC5186;;;Supernova Remnant;Remanente de supernova;Draco;Dragón
NGC5187;;;Galaxy Group;Grupo Galaxtico;Antlia;Antlia
NGC5188;;;Variable Star;Estrella variable;Capricornus;Capricornio
NGC5189;;;Quasar;Quasar;Taurus;Tauro
NGC519;;;White Dwarf;Enana blanca;Eridanus;Erídano
NGC5190;;;Globular Cluster;Cumulo globar;Telescopium;Telescopio
NGC5191;;;Quasar;Quasar;Cetus;Ballena
NGC5192;;;Planetary Nebula;Nebulosa planetaria;Chamaeleon;Camaleón
NGC5193;;;Quasar;Quasar;Andromeda;Andrómeda
NGC5194;Whirlpool Galaxy;Galaxia del Remolino;Galaxy;Galaxia;Canes Venatici;Lebreles
NGC5195;;;Dark Nebula;Nebulosa oscura;Volans;Pez Volador
NGC5196;;;Star;Estrella;Camelopardalis;Jirafa
NGC5197;;;Emission Nebula;Nebula de emisión;Ursa Major;Osa Mayor
NGC5198;;;Star;Estrella;Pisces;Piscis
NGC5199;;;Galaxy Group;Grupo Galaxtico;Lynx;Lince
NGC52;;;Dark Nebula;Nebulosa oscura;Columba;Paloma
NGC520;;;Asterism;Asterismo;Pavo;Pavo Real
NGC5200;;;Double Star;Estrella doble;Columba;Paloma
NGC5201;;;Open Cluster;Cumulo abierto;Ara;Altar
NGC5202;;;Planetary Nebula;Nebulosa planetaria;Chamaeleon;Camaleón
NGC5203;;;Globular Cluster;Cumulo globar;Eridanus;Erídano
NGC5204;;;Supernova Remnant;Remanente de supernova;Leo Minor;León Menor
NGC5205;;;White Dwarf;Enana blanca;Serpens;Serpiente
NGC5206;;;Dark Nebula;Nebulosa oscura;Triangulum;Triángulo
NGC5207;;;Supernova Remnant;Remanente de supernova;Crux;Cruz del Sur
NGC5208;;;Star;Estrella;Indus;Indio
NGC5209;;;Galaxy;Galaxia;Libra;Libra
NGC521;;;White Dwarf;Enana blanca;Cassiopeia;Casiopea
NGC5210;;;Star;Estrella;Canis Major;Can Mayor
NGC5211;;;Supernova Remnant;Remanente de supernova;Sculptor;Escultor
NGC5212;;;HII Region;Región HIII;Hercules;Hércules
NGC5213;;;White Dwarf;Enana blanca;Hercules;Hércules
NGC5214;;;Asterism;Asterismo;Libra;Libra
NGC5215;;;Reflection Nebula;Nebula de reflexión;Canis Minor;Can Menor
NGC5216;;;Red Giant;Gigante roja;Triangulum Australe;Triángulo Austral
NGC5217;;;Variable Star;Estrella variable;Capricornus;Capricornio
NGC5218;;;Emission Nebula;Nebula de emisión;Fornax;Horno
NGC5219;;;Red Giant;Gigante roja;Phoenix;Fénix
NGC522;;;Spiral Galaxy;Galaxia espiral;Triangulum;Triángulo
NGC5220;;;Galaxy;Galaxia;Vulpecula;Zorrilla
NGC5221;;;Red Giant;Gigante roja;Cepheus;Cefeo
NGC5222;;;Emission Nebula;Nebula de emisión;Libra;Libra
NGC5223;;;Globular Cluster;Cumulo globar;Crater;Copa
NGC5224;;;White Dwarf;Enana blanca;Aquila;Águila
NGC5225;;;Dark Nebula;Nebulosa oscura;Ophiuchus;Ofiuco
NGC5226;;;Planetary Nebula;Nebulosa planetaria;Musca;Mosca
NGC5227;;;Star;Estrella;Coma Berenices;Cabellera de Berenice
NGC5228;;;Variable Star;Estrella variable;Crux;Cruz del Sur
NGC5229;;;Double Star;Estrella doble;Capricornus;Capricornio
NGC523;;;Double Star;Estrella doble;Apus;Ave del Paraíso
NGC5230;;;Variable Star;Estrella variable;Cassiopeia;Casiopea
NGC5231;;;Planetary Nebula;Nebulosa planetaria;Leo Minor;León Menor
NGC5232;;;Variable Star;Estrella variable;Apus;Ave del Paraíso
NGC5233;;;Spiral Galaxy;Galaxia espiral;Virgo;Virgo
NGC5234;;;Quasar;Quasar;Scutum;Escudo
NGC5235;;;Open Cluster;Cumulo abierto;Tucana;Tucán
NGC5236;Southern Pinwheel Galaxy;Galaxia Molinete del Sur;Galaxy;Galaxia;Hydra;Hidra
NGC5237;;;Irregular Galaxy;Galaxia irregular;Volans;Pez Volador
NGC5238;;;Emission Nebula;Nebula de emisión;Lyra;Lira
NGC5239;;;Reflection Nebula;Nebula de reflexión;Leo;León
NGC524;;;Variable Star;Estrella variable;Ursa Minor;Osa Menor
NGC5240;;;Supernova Remnant;Remanente de supernova;Cancer;Cáncer
NGC5241;;;Galaxy Group;Grupo Galaxtico;Equuleus;Caballito
NGC5242;;;Open Cluster;Cumulo abierto;Musca;Mosca
NGC5243;;;Variable Star;Estrella variable;Tucana;Tucán
NGC5244;;;Red Giant;Gigante roja;Auriga;Cochero
NGC5245;;;Galaxy;Galaxia;Canes Venatici;Lebreles
NGC5246;;;Galaxy;Galaxia;Musca;Mosca
NGC5247;;;Spiral Galaxy;Galaxia espiral;Lyra;Lira
NGC5248;;;Open Cluster;Cumulo abierto;Ophiuchus;Ofiuco
NGC5249;;;Reflection Nebula;Nebula de reflexión;Lacerta;Lagarto
NGC525;;;Supernova Remnant;Remanente de supernova;Equuleus;Caballito
NGC5250;;;Spiral Galaxy;Galaxia espiral;Ursa Minor;Osa Menor
NGC5251;;;Galaxy;Galaxia;Caelum;Cincel
NGC5252;;;White Dwarf;Enana blanca;Telescopium;Telescopio
NGC5253;;;Asterism;Asterismo;Sculptor;Escultor
NGC5254;;;Planetary Nebula;Nebulosa planetaria;Volans;Pez Volador
NGC5255;;;Asterism;Asterismo;Lepus;Liebre
NGC5256;;;Spiral Galaxy;Galaxia espiral;Camelopardalis;Jirafa
NGC5257;;;Dark Nebula;Nebulosa oscura;Volans;Pez Volador
NGC5258;;;Asterism;Asterismo;Pegasus;Pegaso
NGC5259;;;Galaxy;Galaxia;Cassiopeia;Casiopea
NGC526;;;Double Star;Estrella doble;Grus;Grulla
NGC5260;;;Quasar;Quasar;Hydrus;Hidra Macho
NGC5261;;;White Dwarf;Enana blanca;Scorpius;Escorpión
NGC5262;;;Spiral Galaxy;Galaxia espiral;Corona Borealis;Corona Boreal
NGC5263;;;Variable Star;Estrella variable;Ursa Major;Osa Mayor
NGC5264;;;Elliptical Galaxy;Galaxia eliptica;Crater;Copa
NGC5265;;;Variable Star;Estrella variable;Puppis;Popa
NGC5266;;;Open Cluster;Cumulo abierto;Scutum;Escudo
NGC5267;;;Variable Star;Estrella variable;Sagitta;Flecha
NGC5268;;;Galaxy Group;Grupo Galaxtico;Taurus;Tauro
NGC5269;;;White Dwarf;Enana blanca;Coma Berenices;Cabellera de Berenice
NGC527;;;Quasar;Quasar;Canes Venatici;Lebreles
NGC5270;;;Elliptical Galaxy;Galaxia eliptica;Cancer;Cáncer
NGC5271;;;Red Giant;Gigante roja;Leo;León
NGC5272;Messier 3;Messier 3;Globular Cluster;Cumulo globar;Canes Venatici;Lebreles
NGC5273;;;Dark Nebula;Nebulosa oscura;Grus;Grulla
NGC5274;;;Elliptical Galaxy;Galaxia eliptica;Telescopium;Telescopio
NGC5275;;;Asterism;Asterismo;Coma Berenices;Cabellera de Berenice
NGC5276;;;Galaxy;Galaxia;Leo;León
NGC5277;;;Globular Cluster;Cumulo globar;Libra;Libra
NGC5278;;;Galaxy Group;Grupo Galaxtico;Phoenix;Fénix
NGC5279;;;Galaxy Group;Grupo Galaxtico;Cetus;Ballena
NGC528;;;Dark Nebula;Nebulosa oscura;Telescopium;Telescopio
NGC5280;;;HII Region;Región HIII;Scorpius;Escorpión
NGC5281;;;Reflection Nebula;Nebula de reflexión;Cepheus;Cefeo
NGC5282;;;Galaxy;Galaxia;Reticulum;Retículo
NGC5283;;;Supernova Remnant;Remanente de supernova;Taurus;Tauro
NGC5284;;;Star;Estrella;Coma Berenices;Cabellera de Berenice
NGC5285;;;Red Giant;Gigante roja;Lyra;Lira
NGC5286;;;Galaxy;Galaxia;Centaurus;Centauro
NGC5287;;;Spiral Galaxy;Galaxia espiral;Aquarius;Acuario
NGC5288;;;HII Region;Región HIII;Columba;Paloma
NGC5289;;;Elliptical Galaxy;Galaxia eliptica;Aquarius;Acuario
NGC529;;;HII Region;Región HIII;Pyxis;Brújula
NGC5290;;;Galaxy;Galaxia;Antlia;Antlia
NGC5291;;;Quasar;Quasar;Sextans;Sextante
NGC5292;;;Supernova Remnant;Remanente de supernova;Fornax;Horno
NGC5293;;;Dark Nebula;Nebulosa oscura;Draco;Dragón
NGC5294;;;Open Cluster;Cumulo abierto;Cancer;Cáncer
NGC5295;;;HII Region;Región HIII;Ursa Minor;Osa Menor
NGC5296;;;HII Region;Región HIII;Vela;Velas
NGC5297;;;Variable Star;Estrella variable;Leo Minor;León Menor
NGC5298;;;Asterism;Asterismo;Octans;Octante
NGC5299;;;Star;Estrella;Orion;Orión
NGC53;;;Globular Cluster;Cumulo globar;Ursa Minor;Osa Menor
NGC530;;;Red Giant;Gigante roja;Pictor;Pintor
NGC5300;;;Galaxy Group;Grupo Galaxtico;Antlia;Antlia
NGC5301;;;Planetary Nebula;Nebulosa planetaria;Pegasus;Pegaso
NGC5302;;;Spiral Galaxy;Galaxia espiral;Lepus;Liebre
NGC5303;;;Elliptical Galaxy;Galaxia eliptica;Capricornus;Capricornio
NGC5304;;;HII Region;Región HIII;Triangulum Australe;Triángulo Austral
NGC5305;;;Galaxy;Galaxia;Carina;Quilla
NGC5306;;;Supernova Remnant;Remanente de supernova;Delphinus;Delfín
NGC5307;;;Planetary Nebula;Nebulosa planetaria;Gemini;Géminis
NGC5308;;;Galaxy;Galaxia;Grus;Grulla
NGC5309;;;Dark Nebula;Nebulosa oscura;Taurus;Tauro
NGC531;;;Double Star;Estrella doble;Microscopium;Microscopio
NGC5310;;;Quasar;Quasar;Carina;Quilla
NGC5311;;;Galaxy Group;Grupo Galaxtico;Pyxis;Brújula
NGC5312;;;Dark Nebula;Nebulosa oscura;Aquila;Águila
NGC5313;;;Variable Star;Estrella variable;Pictor;Pintor
NGC5314;;;Emission Nebula;Nebula de emisión;Canis Major;Can Mayor
NGC5315;;;Dark Nebula;Nebulosa oscura;Scorpius;Escorpión
NGC5316;;;Red Giant;Gigante roja;Lepus;Liebre
NGC5317;;;Red Giant;Gigante roja;Orion;Orión
NGC5318;;;Open Cluster;Cumulo abierto;Telescopium;Telescopio
NGC5319;;;Variable Star;Estrella variable;Pisces;Piscis
NGC532;;;HII Region;Región HIII;Chamaeleon;Camaleón
NGC5320;;;HII Region;Región HIII;Microscopium;Microscopio
NGC5321;;;Double Star;Estrella doble;Cepheus;Cefeo
NGC5322;;;Supernova Remnant;Remanente de supernova;Capricornus;Capricornio
NGC5323;;;Quasar;Quasar;Circinus;Compás
NGC5324;;;Reflection Nebula;Nebula de reflexión;Caelum;Cincel
NGC5325;;;Double Star;Estrella doble;Lacerta;Lagarto
NGC5326;;;Variable Star;Estrella variable;Pisces;Piscis
NGC5327;;;White Dwarf;Enana blanca;Eridanus;Erídano
NGC5328;;;White Dwarf;Enana blanca;Chamaeleon;Camaleón
NGC5329;;;Globular Cluster;Cumulo globar;Circinus;Compás
NGC533;;;HII Region;Región HIII;Centaurus;Centauro
NGC5330;;;Globular Cluster;Cumulo globar;Lupus;Lobo
NGC5331;;;Planetary Nebula;Nebulosa planetaria;Canis Minor;Can Menor
NGC5332;;;Quasar;Quasar;Pegasus;Pegaso
NGC5333;;;Star;Estrella;Pavo;Pavo Real
NGC5334;;;White Dwarf;Enana blanca;Libra;Libra
NGC5335;;;White Dwarf;Enana blanca;Draco;Dragón
NGC5336;;;Galaxy;Galaxia;Microscopium;Microscopio
NGC5337;;;Double Star;Estrella doble;Columba;Paloma
NGC5338;;;Galaxy Group;Grupo Galaxtico;Aries;Aries
NGC5339;;;Galaxy Group;Grupo Galaxtico;Vulpecula;Zorrilla
NGC534;;;Quasar;Quasar;Hydrus;Hidra Macho
NGC5340;;;Dark Nebula;Nebulosa oscura;Antlia;Antlia
NGC5341;;;Variable Star;Estrella variable;Taurus;Tauro
NGC5342;;;Quasar;Quasar;Octans;Octante
NGC5343;;;Elliptical Galaxy;Galaxia eliptica;Leo;León
NGC5344;;;Planetary Nebula;Nebulosa planetaria;Sagitta;Flecha
NGC5345;;;Supernova Remnant;Remanente de supernova;Phoenix;Fénix
NGC5346;;;Dark Nebula;Nebulosa oscura;Telescopium;Telescopio
NGC5347;;;Supernova Remnant;Remanente de supernova;Microscopium;Microscopio
NGC5348;;;Star;Estrella;Crux;Cruz del Sur
NGC5349;;;Supernova Remnant;Remanente de supernova;Virgo;Virgo
NGC535;;;Globular Cluster;Cumulo globar;Volans;Pez Volador
NGC5350;;;Emission Nebula;Nebula de emisión;Draco;Dragón
NGC5351;;;Open Cluster;Cumulo abierto;Hydrus;Hidra Macho
NGC5352;;;Asterism;Asterismo;Sextans;Sextante
NGC5353;;;Emission Nebula;Nebula de emisión;Coma Berenices;Cabellera de Berenice
NGC5354;;;Planetary Nebula;Nebulosa planetaria;Cygnus;Cisne
NGC5355;;;Asterism;Asterismo;Lacerta;Lagarto
NGC5356;;;Globular Cluster;Cumulo globar;Indus;Indio
NGC5357;;;Emission Nebula;Nebula de emisión;Tucana;Tucán
NGC5358;;;Reflection Nebula;Nebula de reflexión;Leo Minor;León Menor
NGC5359;;;Reflection Nebula;Nebula de reflexión;Leo Minor;León Menor
NGC536;;;Variable Star;Estrella variable;Eridanus;Erídano
NGC5360;;;Double Star;Estrella doble;Telescopium;Telescopio
NGC5361;;;Variable Star;Estrella variable;Vulpecula;Zorrilla
NGC5362;;;Globular Cluster;Cumulo globar;Orion;Orión
NGC5363;;;Globular Cluster;Cumulo globar;Eridanus;Erídano
NGC5364;;;Irregular Galaxy;Galaxia irregular;Capricornus;Capricornio
NGC5365;;;Reflection Nebula;Nebula de reflexión;Auriga;Cochero
NGC5366;;;Red Giant;Gigante roja;Crater;Copa
NGC5367;;;HII Region;Región HIII;Perseus;Perseo
NGC5368;;;Reflection Nebula;Nebula de reflexión;Fornax;Horno
NGC5369;;;Variable Star;Estrella variable;Piscis Austrinus;Pez Austral
NGC537;;;Red Giant;Gigante roja;Lyra;Lira
NGC5370;;;Galaxy Group;Grupo Galaxtico;Cepheus;Cefeo
NGC5371;;;Spiral Galaxy;Galaxia espiral;Aries;Aries
NGC5372;;;Variable Star;Estrella variable;Octans;Octante
NGC5373;;;Asterism;Asterismo;Ursa Major;Osa Mayor
NGC5374;;;Variable Star;Estrella variable;Puppis;Popa
NGC5375;;;HII Region;Región HIII;Vulpecula;Zorrilla
NGC5376;;;Irregular Galaxy;Galaxia irregular;Pavo;Pavo Real
NGC5377;;;Variable Star;Estrella variable;Corona Australis;Corona Austral
NGC5378;;;HII Region;Región HIII;Caelum;Cincel
NGC5379;;;Quasar;Quasar;Corona Borealis;Corona Boreal
NGC538;;;Spiral Galaxy;Galaxia espiral;Vulpecula;Zorrilla
NGC5380;;;Red Giant;Gigante roja;Sagittarius;Sagitario
NGC5381;;;Irregular Galaxy;Galaxia irregular;Pavo;Pavo Real
NGC5382;;;Galaxy Group;Grupo Galaxtico;Sagitta;Flecha
NGC5383;;;Irregular Galaxy;Galaxia irregular;Octans;Octante
NGC5384;;;Quasar;Quasar;Vela;Velas
NGC5385;;;Reflection Nebula;Nebula de reflexión;Coma Berenices;Cabellera de Berenice
NGC5386;;;Planetary Nebula;Nebulosa planetaria;Pisces;Piscis
NGC5387;;;Supernova Remnant;Remanente de supernova;Fornax;Horno
NGC5388;;;Reflection Nebula;Nebula de reflexión;Auriga;Cochero
NGC5389;;;Dark Nebula;Nebulosa oscura;Crater;Copa
NGC539;;;Star;Estrella;Cassiopeia;Casiopea
NGC5390;;;Quasar;Quasar;Cancer;Cáncer
NGC5391;;;Double Star;Estrella doble;Aquila;Águila
NGC5392;;;Galaxy Group;Grupo Galaxtico;Sagittarius;Sagitario
NGC5393;;;Dark Nebula;Nebulosa oscura;Libra;Libra
NGC5394;;;Quasar;Quasar;Corvus;Cuervo
NGC5395;;;White Dwarf;Enana blanca;Chamaeleon;Camaleón
NGC5396;;;Star;Estrella;Columba;Paloma
NGC5397;;;Quasar;Quasar;Ursa Minor;Osa Menor
NGC5398;;;Quasar;Quasar;Orion;Orión
NGC5399;;;Dark Nebula;Nebulosa oscura;Delphinus;Delfín
NGC54;;;Dark Nebula;Nebulosa oscura;Auriga;Cochero
NGC540;;;Reflection Nebula;Nebula de reflexión;Aquarius;Acuario
NGC5400;;;Open Cluster;Cumulo abierto;Gemini;Géminis
NGC5401;;;Galaxy Group;Grupo Galaxtico;Caelum;Cincel
NGC5402;;;Irregular Galaxy;Galaxia irregular;Cassiopeia;Casiopea
NGC5403;;;Double Star;Estrella doble;Aquila;Águila
NGC5404;;;Asterism;Asterismo;Mensa;Mesa
NGC5405;;;Double Star;Estrella doble;Horologium;Reloj
NGC5406;;;Galaxy Group;Grupo Galaxtico;Volans;Pez Volador
NGC5407;;;Open Cluster;Cumulo abierto;Caelum;Cincel
NGC5408;;;Star;Estrella;Phoenix;Fénix
NGC5409;;;Irregular Galaxy;Galaxia irregular;Hydra;Hidra
NGC541;;;Dark Nebula;Nebulosa oscura;Mensa;Mesa
NGC5410;;;Red Giant;Gigante roja;Cancer;Cáncer
NGC5411;;;Supernova Remnant;Remanente de supernova;Musca;Mosca
NGC5412;;;Galaxy Group;Grupo Galaxtico;Cygnus;Cisne
NGC5413;;;Emission Nebula;Nebula de emisión;Draco;Dragón
NGC5414;;;White Dwarf;Enana blanca;Hydrus;Hidra Macho
NGC5415;;;Variable Star;Estrella variable;Mensa;Mesa
NGC5416;;;Red Giant;Gigante roja;Pavo;Pavo Real
NGC5417;;;Emission Nebula;Nebula de emisión;Puppis;Popa
NGC5418;;;Globular Cluster;Cumulo globar;Serpens;Serpiente
NGC5419;;;HII Region;Región HIII;Ursa Major;Osa Mayor
NGC542;;;Red Giant;Gigante roja;Leo;León
NGC5420;;;White Dwarf;Enana blanca;Columba;Paloma
NGC5421;;;Dark Nebula;Nebulosa oscura;Eridanus;Erídano
NGC5422;;;Reflection Nebula;Nebula de reflexión;Norma;Escuadra
NGC5423;;;Dark Nebula;Nebulosa oscura;Norma;Escuadra
NGC5424;;;Reflection Nebula;Nebula de reflexión;Lacerta;Lagarto
NGC5425;;;Emission Nebula;Nebula de emisión;Corvus;Cuervo
NGC5426;;;Emission Nebula;Nebula de emisión;Gemini;Géminis
NGC5427;;;Variable Star;Estrella variable;Canis Major;Can Mayor
NGC5428;;;Double Star;Estrella doble;Vela;Velas
NGC5429;;;Irregular Galaxy;Galaxia irregular;Camelopardalis;Jirafa
NGC543;;;Star;Estrella;Ara;Altar
NGC5430;;;White Dwarf;Enana blanca;Pavo;Pavo Real
NGC5431;;;Dark Nebula;Nebulosa oscura;Triangulum Australe;Triángulo Austral
NGC5432;;;Planetary Nebula;Nebulosa planetaria;Pegasus;Pegaso
NGC5433;;;Planetary Nebula;Nebulosa planetaria;Auriga;Cochero
NGC5434;;;Elliptical Galaxy;Galaxia eliptica;Libra;Libra
NGC5435;;;Globular Cluster;Cumulo globar;Hydrus;Hidra Macho
NGC5436;;;Dark Nebula;Nebulosa oscura;Centaurus;Centauro
NGC5437;;;HII Region;Región HIII;Ursa Minor;Osa Menor
NGC5438;;;Elliptical Galaxy;Galaxia eliptica;Lupus;Lobo
NGC5439;;;HII Region;Región HIII;Aries;Aries
NGC544;;;Galaxy;Galaxia;Phoenix;Fénix
NGC5440;;;Red Giant;Gigante roja;Corvus;Cuervo
NGC5441;;;Irregular Galaxy;Galaxia irregular;Crux;Cruz del Sur
NGC5442;;;Double Star;Estrella doble;Vulpecula;Zorrilla
NGC5443;;;Asterism;Asterismo;Taurus;Tauro
NGC5444;;;Quasar;Quasar;Delphinus;Delfín
NGC5445;;;Elliptical Galaxy;Galaxia eliptica;Sagitta;Flecha
NGC5446;;;Supernova Remnant;Remanente de supernova;Reticulum;Retículo
NGC5447;;;Asterism;Asterismo;Telescopium;Telescopio
NGC5448;;;Star;Estrella;Ara;Altar
NGC5449;;;HII Region;Región HIII;Ursa Major;Osa Mayor
NGC545;;;Star;Estrella;Columba;Paloma
NGC5450;;;Variable Star;Estrella variable;Crater;Copa
NGC5451;;;Open Cluster;Cumulo abierto;Tucana;Tucán
NGC5452;;;Planetary Nebula;Nebulosa planetaria;Serpens;Serpiente
NGC5453;;;Dark Nebula;Nebulosa oscura;Indus;Indio
NGC5454;;;Star;Estrella;Corona Borealis;Corona Boreal
NGC5455;;;Double Star;Estrella doble;Hercules;Hércules
NGC5456;;;Dark Nebula;Nebulosa oscura;Horologium;Reloj
NGC5457;Pinwheel Galaxy;Galaxia del Molinete;Galaxy;Galaxia;Ursa Major;Osa Mayor
NGC5458;;;Irregular Galaxy;Galaxia irregular;Sagittarius;Sagitario
NGC5459;;;Reflection Nebula;Nebula de reflexión;Grus;Grulla
NGC546;;;Quasar;Quasar;Leo;León
NGC5460;;;Emission Nebula;Nebula de emisión;Virgo;Virgo
NGC5461;;;Emission Nebula;Nebula de emisión;Corona Australis;Corona Austral
NGC5462;;;Reflection Nebula;Nebula de reflexión;Virgo;Virgo
NGC5463;;;Open Cluster;Cumulo abierto;Delphinus;Delfín
NGC5464;;;Double Star;Estrella doble;Virgo;Virgo
NGC5465;;;Spiral Galaxy;Galaxia espiral;Aries;Aries
NGC5466;;;Irregular Galaxy;Galaxia irregular;Sextans;Sextante
NGC5467;;;Reflection Nebula;Nebula de reflexión;Monoceros;Unicornio
NGC5468;;;Red Giant;Gigante roja;Phoenix;Fénix
NGC5469;;;Globular Cluster;Cumulo globar;Pavo;Pavo Real
NGC547;;;Reflection Nebula;Nebula de reflexión;Corona Borealis;Corona Boreal
NGC5470;;;Planetary Nebula;Nebulosa planetaria;Equuleus;Caballito
NGC5471;;;Spiral Galaxy;Galaxia espiral;Libra;Libra
NGC5472;;;Elliptical Galaxy;Galaxia eliptica;Camelopardalis;Jirafa
NGC5473;;;Emission Nebula;Nebula de emisión;Musca;Mosca
